epoch,tau,train_loss,mean_base,mean_src_motion,mean_fall_margin,mean_targeted,select_active,keep_rate,keep_fall,keep_nonfall,val_clean_accuracy,val_clean_macro_f1,val_clean_fall_recall,val_fgsm_fall_recall,val_pgd_fall_recall,val_fgsm_false_fall_alarms,val_pgd_false_fall_alarms,val_normalized_false_alarm_burden,safety_score,v2_eligible,sel_v2safety,sel_v2maxrec,sel_v2lowFA,sel_v2macroF1
1,1.000000,3.117610,1.989363,0.047790,1.024839,0.055618,0,0.000000,0.000000,0.000000,0.243952,0.056031,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
2,1.000000,3.008086,1.997264,0.007987,0.989757,0.013078,0,0.000000,0.000000,0.000000,0.274194,0.086617,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
3,1.000000,3.045645,1.996627,0.007065,1.030931,0.011022,0,0.000000,0.000000,0.000000,0.243952,0.056031,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
4,1.000000,2.973228,1.996712,0.005896,0.961372,0.009248,0,0.000000,0.000000,0.000000,0.296371,0.103734,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
5,1.000000,3.018913,1.996152,0.006530,1.006594,0.009637,0,0.000000,0.000000,0.000000,0.288306,0.119833,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
6,1.000000,3.008605,1.998442,0.003027,1.001191,0.005946,0,0.000000,0.000000,0.000000,0.298387,0.117034,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
7,1.000000,3.000163,1.996072,0.002465,0.996447,0.005179,0,0.000000,0.000000,0.000000,0.292339,0.134981,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
8,1.000000,2.966778,1.993792,0.003683,0.963036,0.006266,0,0.000000,0.000000,0.000000,0.375000,0.139955,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
9,1.000000,3.011879,1.994395,0.003194,1.008564,0.005727,0,0.000000,0.000000,0.000000,0.364919,0.138357,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
10,1.000000,2.947315,1.995464,0.003267,0.943192,0.005393,0,0.000000,0.000000,0.000000,0.409274,0.217285,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
11,1.000000,2.920606,1.993638,0.004473,0.915784,0.006710,0,0.000000,0.000000,0.000000,0.308468,0.157888,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
12,1.000000,2.915664,1.991053,0.005115,0.912437,0.007059,0,0.000000,0.000000,0.000000,0.332661,0.205087,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
13,1.000000,2.945513,1.991908,0.004615,0.942012,0.006978,0,0.000000,0.000000,0.000000,0.366935,0.197523,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
14,1.000000,2.974288,1.990884,0.004431,0.972017,0.006956,0,0.000000,0.000000,0.000000,0.409274,0.258627,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
15,1.000000,2.958705,1.986942,0.005912,0.957764,0.008087,0,0.000000,0.000000,0.000000,0.401210,0.262677,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
16,0.600000,2.910282,1.983395,0.007541,0.909474,0.009872,1,1.000000,1.000000,1.000000,0.385081,0.230114,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
17,0.600000,2.991419,1.977097,0.010655,0.990266,0.013401,1,1.000000,1.000000,1.000000,0.443548,0.285126,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
18,0.600000,2.939199,1.967926,0.013934,0.941240,0.016099,1,1.000000,1.000000,1.000000,0.366935,0.218467,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
19,0.600000,2.925867,1.953828,0.016639,0.937385,0.018014,1,1.000000,1.000000,1.000000,0.379032,0.240935,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
20,0.600000,2.928120,1.925644,0.031443,0.939376,0.031657,1,0.993952,1.000000,0.993423,0.415323,0.301042,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
21,0.600000,2.910948,1.891392,0.040890,0.936827,0.041840,1,0.985383,1.000000,0.984076,0.495968,0.418998,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
22,0.600000,2.903472,1.826746,0.059376,0.958169,0.059181,1,0.972278,1.000000,0.969791,0.431452,0.344702,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
23,0.600000,2.890395,1.786327,0.083989,0.938543,0.081536,1,0.949597,1.000000,0.945189,0.465726,0.386824,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
24,0.600000,2.800854,1.731839,0.084569,0.907062,0.077384,1,0.939012,0.994624,0.932409,0.393145,0.307065,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
25,0.600000,2.750070,1.660502,0.103410,0.886617,0.099543,1,0.961190,0.981183,0.958860,0.520161,0.431483,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
26,0.500000,2.703265,1.600202,0.111339,0.872373,0.119350,1,0.984879,1.000000,0.983068,0.522177,0.480676,0.318182,0.181818,0.113636,14,11,0.027655,0.177916,0,0,0,0,1
27,0.500000,2.659350,1.550184,0.147574,0.810281,0.151310,1,0.997984,1.000000,0.997582,0.473790,0.394808,0.136364,0.000000,0.000000,1,1,0.002212,0.047506,0,0,0,0,0
28,0.500000,2.740145,1.554666,0.164345,0.856633,0.164500,1,0.991431,0.983871,0.991270,0.560484,0.502787,0.340909,0.113636,0.068182,13,15,0.030973,0.158266,0,0,0,0,1
29,0.500000,2.570632,1.498817,0.160292,0.736815,0.174707,1,0.998488,1.000000,0.998326,0.558468,0.506326,0.545455,0.113636,0.068182,11,23,0.037611,0.229193,0,0,0,0,1
30,0.500000,2.538217,1.446678,0.180784,0.697318,0.213437,1,1.000000,1.000000,1.000000,0.568548,0.533616,0.522727,0.000000,0.000000,6,10,0.017699,0.181185,0,0,0,0,1
31,0.500000,2.386746,1.397316,0.186645,0.594419,0.208365,1,0.996472,0.994624,0.996840,0.612903,0.585834,0.636364,0.136364,0.045455,7,12,0.021018,0.254716,0,0,0,0,1
32,0.500000,2.330942,1.338312,0.192258,0.545000,0.255372,1,0.993448,0.995968,0.993446,0.637097,0.615922,0.818182,0.272727,0.159091,41,53,0.103982,0.374829,0,0,0,0,1
33,0.500000,2.420767,1.338927,0.214207,0.599204,0.268429,1,0.997984,1.000000,0.997793,0.667339,0.647973,0.795455,0.250000,0.113636,16,40,0.061947,0.348351,0,0,0,0,1
34,0.500000,2.245861,1.300833,0.196562,0.498885,0.249581,1,0.998488,1.000000,0.998364,0.637097,0.608116,0.772727,0.090909,0.022727,13,23,0.039823,0.285790,0,0,0,0,0
35,0.500000,2.490044,1.329371,0.236779,0.601478,0.322415,1,0.997984,1.000000,0.997700,0.633065,0.628203,0.954545,0.659091,0.454545,82,108,0.210177,0.583528,0,0,0,0,0
36,0.500000,2.084007,1.250602,0.188822,0.399289,0.245293,1,1.000000,1.000000,1.000000,0.683468,0.671030,0.863636,0.136364,0.000000,14,22,0.039823,0.311927,0,0,0,0,1
37,0.500000,2.167859,1.241294,0.184720,0.490166,0.251680,1,1.000000,1.000000,1.000000,0.691532,0.671371,0.954545,0.545455,0.272727,50,68,0.130531,0.498311,0,0,0,0,1
38,0.500000,1.968356,1.161291,0.175536,0.395799,0.235730,1,0.999496,1.000000,0.999444,0.675403,0.647471,0.954545,0.409091,0.204545,35,49,0.092920,0.457753,0,0,0,0,0
39,0.500000,2.135011,1.195565,0.200314,0.476021,0.263111,1,1.000000,1.000000,1.000000,0.687500,0.666310,0.909091,0.522727,0.204545,38,65,0.113938,0.451106,0,0,0,0,0
40,0.500000,1.816637,1.109301,0.164606,0.318817,0.223914,1,1.000000,1.000000,1.000000,0.689516,0.680455,0.886364,0.386364,0.250000,35,47,0.090708,0.452293,0,0,0,0,1
41,0.500000,1.908911,1.105869,0.171298,0.349363,0.282382,1,1.000000,1.000000,1.000000,0.709677,0.695933,0.909091,0.522727,0.272727,28,43,0.078540,0.485328,1,1,1,1,1
42,0.500000,2.073761,1.157101,0.182368,0.471373,0.262920,1,1.000000,1.000000,1.000000,0.727823,0.723444,0.931818,0.386364,0.136364,23,38,0.067478,0.419389,1,0,0,1,1
43,0.500000,1.949516,1.136019,0.163528,0.395151,0.254818,1,1.000000,1.000000,1.000000,0.719758,0.724364,0.954545,0.500000,0.250000,31,44,0.082965,0.488294,1,1,0,0,1
44,0.500000,2.146099,1.187275,0.197200,0.484304,0.277320,1,1.000000,1.000000,1.000000,0.697581,0.679667,0.727273,0.113636,0.022727,3,10,0.014381,0.274698,0,0,0,0,0
45,0.500000,1.925344,1.098583,0.177831,0.405951,0.242980,1,1.000000,1.000000,1.000000,0.707661,0.671278,0.977273,0.795455,0.636364,76,98,0.192478,0.688707,1,1,1,0,0
46,0.500000,1.945705,1.127068,0.175181,0.370058,0.273397,1,1.000000,1.000000,1.000000,0.687500,0.676334,0.909091,0.227273,0.045455,11,31,0.046460,0.356718,0,0,0,0,0
47,0.500000,1.837047,1.049246,0.165944,0.381412,0.240445,1,1.000000,1.000000,1.000000,0.683468,0.674840,0.954545,0.136364,0.090909,16,28,0.048673,0.383769,0,0,0,0,0
48,0.500000,1.853351,1.058744,0.179176,0.337742,0.277689,1,1.000000,1.000000,1.000000,0.739919,0.727816,0.977273,0.613636,0.363636,58,75,0.147124,0.552333,1,0,0,0,1
49,0.500000,2.010943,1.099987,0.221176,0.390292,0.299487,1,1.000000,1.000000,1.000000,0.719758,0.718833,0.954545,0.409091,0.204545,26,34,0.066372,0.460408,1,0,0,1,0
50,0.500000,1.698557,1.018812,0.164436,0.281509,0.233801,1,1.000000,1.000000,1.000000,0.729839,0.718263,0.863636,0.181818,0.068182,19,26,0.049779,0.346158,1,0,0,0,0
51,0.500000,2.132919,1.111785,0.223200,0.473953,0.323981,1,1.000000,1.000000,1.000000,0.717742,0.702048,0.931818,0.386364,0.181818,21,36,0.063053,0.440286,1,0,0,0,0
52,0.500000,1.839326,1.074349,0.162982,0.362194,0.239800,1,1.000000,1.000000,1.000000,0.741935,0.729950,0.931818,0.431818,0.181818,29,33,0.068584,0.444278,1,0,0,1,1
53,0.500000,1.767656,1.035154,0.153005,0.334449,0.245048,1,1.000000,1.000000,1.000000,0.727823,0.714985,0.886364,0.318182,0.181818,21,32,0.058628,0.418001,1,0,0,1,0
54,0.500000,1.630991,0.975803,0.148936,0.305890,0.200362,1,1.000000,1.000000,1.000000,0.717742,0.697882,0.954545,0.363636,0.136364,21,34,0.060841,0.425734,1,0,0,0,0
55,0.500000,1.943096,1.060700,0.201301,0.395333,0.285763,1,1.000000,1.000000,1.000000,0.705645,0.701879,0.977273,0.522727,0.272727,44,59,0.113938,0.505652,1,0,0,0,0
56,0.500000,1.794923,1.011651,0.164994,0.373760,0.244519,1,1.000000,1.000000,1.000000,0.703629,0.717327,0.954545,0.318182,0.204545,19,34,0.058628,0.452092,1,0,0,0,0
57,0.500000,1.688359,0.992874,0.175318,0.285660,0.234506,1,1.000000,1.000000,1.000000,0.695565,0.703383,1.000000,0.772727,0.522727,62,80,0.157080,0.646792,0,0,0,0,0
58,0.500000,1.781833,1.015531,0.170906,0.348798,0.246596,1,1.000000,1.000000,1.000000,0.737903,0.737112,0.840909,0.204545,0.113636,12,19,0.034292,0.362480,1,0,0,1,1
59,0.500000,1.828551,1.021625,0.164486,0.382612,0.259829,1,1.000000,1.000000,1.000000,0.701613,0.704451,0.931818,0.590909,0.431818,46,70,0.128319,0.566714,1,0,0,0,0
60,0.500000,1.594626,0.947751,0.137226,0.302587,0.207062,1,1.000000,1.000000,1.000000,0.760081,0.752684,0.977273,0.613636,0.363636,37,57,0.103982,0.556647,1,0,0,0,1
