epoch,train_loss,mean_motion_penalty,val_clean_accuracy,val_clean_macro_f1,val_clean_fall_recall,val_fgsm_fall_recall,val_pgd_fall_recall,val_fgsm_false_fall_alarms,val_pgd_false_fall_alarms,val_normalized_false_alarm_burden,safety_score,v2_eligible,sel_v2safety,sel_v2maxrec,sel_v2lowFA,sel_v2macroF1
1,1.982556,0.128279,0.294355,0.064976,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
2,1.972248,0.115223,0.294355,0.064976,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
3,1.961169,0.125342,0.352823,0.138322,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
4,1.915683,0.115973,0.350806,0.133075,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
5,1.796413,0.109039,0.457661,0.341437,0.000000,0.000000,0.000000,0,1,0.001106,-0.000111,0,0,0,0,1
6,1.652197,0.113520,0.576613,0.509008,0.545455,0.022727,0.022727,40,55,0.105088,0.192900,0,0,0,0,1
7,1.567502,0.115016,0.556452,0.535449,0.636364,0.000000,0.000000,16,38,0.059735,0.216754,0,0,0,0,1
8,1.480519,0.112063,0.586694,0.552212,0.818182,0.068182,0.000000,51,80,0.144912,0.278691,0,0,0,0,1
9,1.434706,0.106867,0.659274,0.636256,0.795455,0.090909,0.022727,23,47,0.077434,0.289984,0,0,0,0,1
10,1.371623,0.106903,0.661290,0.652797,0.818182,0.022727,0.000000,16,34,0.055310,0.283105,0,0,0,0,1
11,1.346727,0.103274,0.655242,0.642543,0.818182,0.136364,0.000000,26,60,0.095133,0.290487,0,0,0,0,0
12,1.345663,0.111252,0.691532,0.682014,0.818182,0.045455,0.000000,28,50,0.086283,0.282281,0,0,0,0,1
13,1.221183,0.092923,0.695565,0.678077,0.863636,0.363636,0.022727,77,109,0.205752,0.328288,0,0,0,0,0
14,1.309989,0.111633,0.703629,0.685291,0.886364,0.068182,0.000000,43,72,0.127212,0.304324,1,1,1,0,1
15,1.122008,0.085646,0.713710,0.701716,0.750000,0.022727,0.000000,10,21,0.034292,0.261344,1,0,1,0,1
16,1.091144,0.077829,0.731855,0.718082,0.909091,0.159091,0.022727,46,65,0.122788,0.332039,1,1,1,0,1
17,1.160203,0.090021,0.727823,0.719196,0.909091,0.204545,0.000000,34,80,0.126106,0.326026,1,0,0,0,1
18,1.119519,0.082870,0.735887,0.714746,0.909091,0.136364,0.022727,28,56,0.092920,0.332753,1,1,1,0,0
19,1.146077,0.098052,0.766129,0.750521,0.909091,0.068182,0.000000,22,39,0.067478,0.318252,1,0,0,0,1
20,1.107726,0.080759,0.741935,0.728844,0.909091,0.181818,0.045455,46,83,0.142699,0.342548,1,1,1,0,0
21,1.122930,0.092737,0.758065,0.731999,0.954545,0.250000,0.090909,54,70,0.137168,0.386283,1,1,1,0,0
22,1.065267,0.084041,0.754032,0.733690,0.931818,0.295455,0.000000,43,73,0.128319,0.342850,1,0,0,0,0
23,1.049001,0.083896,0.756048,0.741412,0.954545,0.159091,0.022727,30,51,0.089602,0.351267,1,0,0,0,0
24,0.954440,0.070165,0.810484,0.783609,0.909091,0.159091,0.000000,26,46,0.079646,0.326126,1,0,0,0,1
25,0.931207,0.071401,0.806452,0.782034,0.954545,0.159091,0.022727,29,47,0.084071,0.351820,1,0,0,0,0
26,0.998007,0.073363,0.790323,0.769054,0.909091,0.022727,0.000000,24,38,0.068584,0.313596,1,0,0,0,0
27,0.985691,0.073629,0.760081,0.730528,0.931818,0.250000,0.068182,45,59,0.115044,0.370314,1,0,0,0,0
28,1.105470,0.090221,0.735887,0.726551,0.909091,0.454545,0.090909,47,82,0.142699,0.390276,1,1,0,0,0
29,0.926990,0.068661,0.806452,0.794952,0.931818,0.113636,0.022727,23,50,0.080752,0.339652,1,0,0,0,1
30,0.894194,0.064237,0.776210,0.756709,0.886364,0.090909,0.022727,22,44,0.073009,0.322245,1,0,0,0,0
31,0.902808,0.064276,0.788306,0.770064,0.977273,0.522727,0.181818,55,73,0.141593,0.461977,1,1,1,1,0
32,0.948235,0.076622,0.806452,0.784593,0.931818,0.454545,0.113636,43,65,0.119469,0.410780,1,0,0,1,0
33,0.946035,0.075465,0.844758,0.822752,0.931818,0.090909,0.000000,26,43,0.076327,0.327595,1,0,0,0,1
34,0.943309,0.074633,0.826613,0.800237,0.863636,0.477273,0.068182,42,66,0.119469,0.368735,1,0,0,0,0
35,0.981567,0.076185,0.774194,0.753354,0.977273,0.590909,0.181818,57,91,0.163717,0.466583,1,1,0,0,0
36,0.857317,0.063069,0.816532,0.783832,0.931818,0.272727,0.068182,26,47,0.080752,0.376016,1,0,0,0,0
37,0.891982,0.066512,0.792339,0.777881,0.886364,0.204545,0.000000,26,49,0.082965,0.322385,1,0,0,0,0
38,0.814165,0.053599,0.816532,0.787709,0.909091,0.363636,0.045455,32,50,0.090708,0.365929,1,0,0,0,0
39,0.913514,0.069152,0.818548,0.804286,0.977273,0.295455,0.000000,45,62,0.118363,0.359755,1,0,0,0,0
40,0.836480,0.065537,0.816532,0.807351,0.977273,0.250000,0.022727,34,49,0.091814,0.368091,1,0,0,0,0
41,0.887479,0.062904,0.818548,0.804741,0.954545,0.386364,0.090909,37,66,0.113938,0.402243,1,0,0,0,0
42,0.885362,0.073459,0.858871,0.838692,0.931818,0.431818,0.113636,37,63,0.110619,0.409393,1,0,0,1,1
43,0.950688,0.082625,0.860887,0.841272,0.977273,0.204545,0.000000,19,35,0.059735,0.356527,1,0,0,0,1
44,0.873658,0.062279,0.820565,0.823901,0.931818,0.136364,0.000000,26,40,0.073009,0.332472,1,0,0,0,0
45,0.830732,0.062282,0.824597,0.813431,0.909091,0.227273,0.022727,15,29,0.048673,0.346269,1,0,0,0,0
46,0.934539,0.074208,0.774194,0.766347,0.931818,0.181818,0.022727,26,51,0.085177,0.346028,1,0,0,0,0
47,0.799869,0.052122,0.846774,0.837128,0.931818,0.250000,0.022727,20,38,0.064159,0.354948,1,0,0,0,0
48,0.842773,0.067417,0.842742,0.827540,0.977273,0.363636,0.045455,33,48,0.089602,0.389903,1,0,0,0,0
49,0.900543,0.066841,0.790323,0.768768,0.954545,0.727273,0.250000,86,122,0.230088,0.496309,1,1,1,0,0
50,0.798692,0.046490,0.856855,0.836792,0.954545,0.136364,0.000000,21,32,0.058628,0.341864,1,0,0,0,0
51,0.888756,0.065756,0.828629,0.818713,0.931818,0.068182,0.022727,20,29,0.054204,0.337761,1,0,0,0,0
52,0.868641,0.061842,0.808468,0.800564,0.977273,0.500000,0.113636,43,67,0.121681,0.431014,1,0,0,0,0
53,0.829168,0.066462,0.854839,0.827482,0.954545,0.386364,0.068182,33,63,0.106195,0.392790,1,0,0,0,0
54,0.732324,0.052291,0.872984,0.852938,0.931818,0.204545,0.000000,19,33,0.057522,0.340839,1,0,0,0,1
55,0.882083,0.064144,0.806452,0.804648,0.886364,0.340909,0.022727,18,39,0.063053,0.348240,1,0,0,0,0
56,0.832552,0.059842,0.858871,0.851391,0.977273,0.681818,0.386364,68,101,0.186947,0.565396,1,1,1,0,0
57,0.813493,0.071681,0.862903,0.837978,0.954545,0.363636,0.113636,35,54,0.098451,0.411746,1,0,0,1,0
58,0.895456,0.070508,0.854839,0.838220,0.954545,0.431818,0.250000,50,79,0.142699,0.475503,1,0,0,0,0
59,0.842000,0.064154,0.846774,0.832577,0.977273,0.409091,0.068182,36,51,0.096239,0.404012,1,0,0,0,0
60,0.749948,0.051092,0.830645,0.787974,0.863636,0.522727,0.204545,37,62,0.109513,0.435640,1,0,0,0,0
61,0.825105,0.064159,0.846774,0.829070,0.954545,0.522727,0.204545,43,62,0.116150,0.466794,1,0,0,0,0
62,0.774005,0.060152,0.854839,0.836809,0.977273,0.295455,0.045455,23,41,0.070796,0.384966,1,0,0,0,0
63,0.754994,0.048056,0.868952,0.862692,0.954545,0.295455,0.068182,20,34,0.059735,0.388345,1,0,0,0,1
64,0.815099,0.060801,0.836694,0.830907,0.977273,0.409091,0.136364,32,52,0.092920,0.435026,1,0,0,1,0
65,0.742793,0.049494,0.858871,0.833134,0.954545,0.477273,0.181818,43,72,0.127212,0.450915,1,0,0,0,0
66,0.782356,0.058324,0.875000,0.871173,0.931818,0.068182,0.000000,8,13,0.023230,0.330632,1,0,0,0,1
67,0.782965,0.056682,0.848790,0.837627,0.954545,0.454545,0.068182,38,62,0.110619,0.399165,1,0,0,0,0
68,0.751486,0.057428,0.828629,0.824390,0.977273,0.318182,0.068182,31,50,0.089602,0.395585,1,0,0,0,0
69,0.733977,0.051526,0.848790,0.855973,0.954545,0.318182,0.090909,35,54,0.098451,0.396973,1,0,0,0,0
70,0.846333,0.064537,0.842742,0.835131,0.977273,0.568182,0.250000,42,60,0.112832,0.500080,1,0,0,0,0
