condition,display_condition,model_type,attack_type,epsilon,source_file,window_group,high_confidence_threshold,low_confidence_threshold,claim_boundary,n_windows,mean_prediction_confidence,median_prediction_confidence,min_prediction_confidence,max_prediction_confidence,high_confidence_count,high_confidence_rate,low_confidence_count,low_confidence_rate
undefended_clean,Undefended clean,undefended_baseline,none,0.000000,clean_predictions_short.csv,all_windows,0.800000,0.500000,"Research implementation only; window-level model-reported prediction-confidence summary; confidence means predicted-class probability/confidence from the model output, not calibrated clinical confidence; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, not false alarms per hour/day, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation.",996,0.660882,0.671661,0.199953,0.995592,297,0.298193,239,0.239960
undefended_clean,Undefended clean,undefended_baseline,none,0.000000,clean_predictions_short.csv,correct_predictions,0.800000,0.500000,"Research implementation only; window-level model-reported prediction-confidence summary; confidence means predicted-class probability/confidence from the model output, not calibrated clinical confidence; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, not false alarms per hour/day, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation.",657,0.721284,0.740962,0.259923,0.995592,264,0.401826,88,0.133942
undefended_clean,Undefended clean,undefended_baseline,none,0.000000,clean_predictions_short.csv,incorrect_predictions,0.800000,0.500000,"Research implementation only; window-level model-reported prediction-confidence summary; confidence means predicted-class probability/confidence from the model output, not calibrated clinical confidence; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, not false alarms per hour/day, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation.",339,0.543818,0.519745,0.199953,0.968116,33,0.097345,151,0.445428
undefended_clean,Undefended clean,undefended_baseline,none,0.000000,clean_predictions_short.csv,true_fall_windows,0.800000,0.500000,"Research implementation only; window-level model-reported prediction-confidence summary; confidence means predicted-class probability/confidence from the model output, not calibrated clinical confidence; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, not false alarms per hour/day, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation.",89,0.608249,0.601110,0.378846,0.928716,9,0.101124,23,0.258427
undefended_clean,Undefended clean,undefended_baseline,none,0.000000,clean_predictions_short.csv,true_nonfall_windows,0.800000,0.500000,"Research implementation only; window-level model-reported prediction-confidence summary; confidence means predicted-class probability/confidence from the model output, not calibrated clinical confidence; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, not false alarms per hour/day, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation.",907,0.666046,0.682981,0.199953,0.995592,288,0.317530,216,0.238148
undefended_clean,Undefended clean,undefended_baseline,none,0.000000,clean_predictions_short.csv,detected_fall_windows,0.800000,0.500000,"Research implementation only; window-level model-reported prediction-confidence summary; confidence means predicted-class probability/confidence from the model output, not calibrated clinical confidence; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, not false alarms per hour/day, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation.",57,0.577444,0.589608,0.427909,0.719219,0,0.000000,15,0.263158
undefended_clean,Undefended clean,undefended_baseline,none,0.000000,clean_predictions_short.csv,missed_fall_windows,0.800000,0.500000,"Research implementation only; window-level model-reported prediction-confidence summary; confidence means predicted-class probability/confidence from the model output, not calibrated clinical confidence; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, not false alarms per hour/day, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation.",32,0.663120,0.688591,0.378846,0.928716,9,0.281250,8,0.250000
undefended_clean,Undefended clean,undefended_baseline,none,0.000000,clean_predictions_short.csv,false_fall_alarm_windows,0.800000,0.500000,"Research implementation only; window-level model-reported prediction-confidence summary; confidence means predicted-class probability/confidence from the model output, not calibrated clinical confidence; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, not false alarms per hour/day, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation.",32,0.403927,0.380573,0.231112,0.631032,0,0.000000,27,0.843750
undefended_clean,Undefended clean,undefended_baseline,none,0.000000,clean_predictions_short.csv,correct_nonfall_windows,0.800000,0.500000,"Research implementation only; window-level model-reported prediction-confidence summary; confidence means predicted-class probability/confidence from the model output, not calibrated clinical confidence; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, not false alarms per hour/day, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation.",875,0.675632,0.696670,0.199953,0.995592,288,0.329143,189,0.216000
undefended_fgsm_epsilon_0_03,Undefended FGSM epsilon 0.03,undefended_baseline,FGSM,0.030000,fgsm_predictions_short_epsilon_0_03.csv,all_windows,0.800000,0.500000,"Research implementation only; window-level model-reported prediction-confidence summary; confidence means predicted-class probability/confidence from the model output, not calibrated clinical confidence; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, not false alarms per hour/day, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation.",996,0.715659,0.731898,0.201659,0.999420,421,0.422691,190,0.190763
undefended_fgsm_epsilon_0_03,Undefended FGSM epsilon 0.03,undefended_baseline,FGSM,0.030000,fgsm_predictions_short_epsilon_0_03.csv,correct_predictions,0.800000,0.500000,"Research implementation only; window-level model-reported prediction-confidence summary; confidence means predicted-class probability/confidence from the model output, not calibrated clinical confidence; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, not false alarms per hour/day, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation.",10,0.402359,0.407772,0.224135,0.587329,0,0.000000,8,0.800000
undefended_fgsm_epsilon_0_03,Undefended FGSM epsilon 0.03,undefended_baseline,FGSM,0.030000,fgsm_predictions_short_epsilon_0_03.csv,incorrect_predictions,0.800000,0.500000,"Research implementation only; window-level model-reported prediction-confidence summary; confidence means predicted-class probability/confidence from the model output, not calibrated clinical confidence; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, not false alarms per hour/day, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation.",986,0.718836,0.735743,0.201659,0.999420,421,0.426978,182,0.184584
undefended_fgsm_epsilon_0_03,Undefended FGSM epsilon 0.03,undefended_baseline,FGSM,0.030000,fgsm_predictions_short_epsilon_0_03.csv,true_fall_windows,0.800000,0.500000,"Research implementation only; window-level model-reported prediction-confidence summary; confidence means predicted-class probability/confidence from the model output, not calibrated clinical confidence; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, not false alarms per hour/day, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation.",89,0.775721,0.833032,0.291521,0.994210,54,0.606742,15,0.168539
undefended_fgsm_epsilon_0_03,Undefended FGSM epsilon 0.03,undefended_baseline,FGSM,0.030000,fgsm_predictions_short_epsilon_0_03.csv,true_nonfall_windows,0.800000,0.500000,"Research implementation only; window-level model-reported prediction-confidence summary; confidence means predicted-class probability/confidence from the model output, not calibrated clinical confidence; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, not false alarms per hour/day, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation.",907,0.709765,0.719004,0.201659,0.999420,367,0.404631,175,0.192944
undefended_fgsm_epsilon_0_03,Undefended FGSM epsilon 0.03,undefended_baseline,FGSM,0.030000,fgsm_predictions_short_epsilon_0_03.csv,detected_fall_windows,0.800000,0.500000,"Research implementation only; window-level model-reported prediction-confidence summary; confidence means predicted-class probability/confidence from the model output, not calibrated clinical confidence; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, not false alarms per hour/day, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation.",0,NA,NA,NA,NA,0,NA,0,NA
undefended_fgsm_epsilon_0_03,Undefended FGSM epsilon 0.03,undefended_baseline,FGSM,0.030000,fgsm_predictions_short_epsilon_0_03.csv,missed_fall_windows,0.800000,0.500000,"Research implementation only; window-level model-reported prediction-confidence summary; confidence means predicted-class probability/confidence from the model output, not calibrated clinical confidence; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, not false alarms per hour/day, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation.",89,0.775721,0.833032,0.291521,0.994210,54,0.606742,15,0.168539
undefended_fgsm_epsilon_0_03,Undefended FGSM epsilon 0.03,undefended_baseline,FGSM,0.030000,fgsm_predictions_short_epsilon_0_03.csv,false_fall_alarm_windows,0.800000,0.500000,"Research implementation only; window-level model-reported prediction-confidence summary; confidence means predicted-class probability/confidence from the model output, not calibrated clinical confidence; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, not false alarms per hour/day, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation.",119,0.566919,0.576503,0.247522,0.815579,2,0.016807,38,0.319328
undefended_fgsm_epsilon_0_03,Undefended FGSM epsilon 0.03,undefended_baseline,FGSM,0.030000,fgsm_predictions_short_epsilon_0_03.csv,correct_nonfall_windows,0.800000,0.500000,"Research implementation only; window-level model-reported prediction-confidence summary; confidence means predicted-class probability/confidence from the model output, not calibrated clinical confidence; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, not false alarms per hour/day, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation.",788,0.731337,0.765010,0.201659,0.999420,365,0.463198,137,0.173858
undefended_pgd_epsilon_0_03,Undefended PGD epsilon 0.03,undefended_baseline,PGD,0.030000,pgd_predictions_short_epsilon_0_03.csv,all_windows,0.800000,0.500000,"Research implementation only; window-level model-reported prediction-confidence summary; confidence means predicted-class probability/confidence from the model output, not calibrated clinical confidence; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, not false alarms per hour/day, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation.",996,0.816495,0.878386,0.295051,0.999834,628,0.630522,76,0.076305
undefended_pgd_epsilon_0_03,Undefended PGD epsilon 0.03,undefended_baseline,PGD,0.030000,pgd_predictions_short_epsilon_0_03.csv,correct_predictions,0.800000,0.500000,"Research implementation only; window-level model-reported prediction-confidence summary; confidence means predicted-class probability/confidence from the model output, not calibrated clinical confidence; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, not false alarms per hour/day, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation.",0,NA,NA,NA,NA,0,NA,0,NA
undefended_pgd_epsilon_0_03,Undefended PGD epsilon 0.03,undefended_baseline,PGD,0.030000,pgd_predictions_short_epsilon_0_03.csv,incorrect_predictions,0.800000,0.500000,"Research implementation only; window-level model-reported prediction-confidence summary; confidence means predicted-class probability/confidence from the model output, not calibrated clinical confidence; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, not false alarms per hour/day, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation.",996,0.816495,0.878386,0.295051,0.999834,628,0.630522,76,0.076305
undefended_pgd_epsilon_0_03,Undefended PGD epsilon 0.03,undefended_baseline,PGD,0.030000,pgd_predictions_short_epsilon_0_03.csv,true_fall_windows,0.800000,0.500000,"Research implementation only; window-level model-reported prediction-confidence summary; confidence means predicted-class probability/confidence from the model output, not calibrated clinical confidence; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, not false alarms per hour/day, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation.",89,0.872827,0.953281,0.422396,0.996297,73,0.820225,11,0.123596
undefended_pgd_epsilon_0_03,Undefended PGD epsilon 0.03,undefended_baseline,PGD,0.030000,pgd_predictions_short_epsilon_0_03.csv,true_nonfall_windows,0.800000,0.500000,"Research implementation only; window-level model-reported prediction-confidence summary; confidence means predicted-class probability/confidence from the model output, not calibrated clinical confidence; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, not false alarms per hour/day, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation.",907,0.810967,0.870242,0.295051,0.999834,555,0.611907,65,0.071665
undefended_pgd_epsilon_0_03,Undefended PGD epsilon 0.03,undefended_baseline,PGD,0.030000,pgd_predictions_short_epsilon_0_03.csv,detected_fall_windows,0.800000,0.500000,"Research implementation only; window-level model-reported prediction-confidence summary; confidence means predicted-class probability/confidence from the model output, not calibrated clinical confidence; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, not false alarms per hour/day, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation.",0,NA,NA,NA,NA,0,NA,0,NA
undefended_pgd_epsilon_0_03,Undefended PGD epsilon 0.03,undefended_baseline,PGD,0.030000,pgd_predictions_short_epsilon_0_03.csv,missed_fall_windows,0.800000,0.500000,"Research implementation only; window-level model-reported prediction-confidence summary; confidence means predicted-class probability/confidence from the model output, not calibrated clinical confidence; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, not false alarms per hour/day, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation.",89,0.872827,0.953281,0.422396,0.996297,73,0.820225,11,0.123596
undefended_pgd_epsilon_0_03,Undefended PGD epsilon 0.03,undefended_baseline,PGD,0.030000,pgd_predictions_short_epsilon_0_03.csv,false_fall_alarm_windows,0.800000,0.500000,"Research implementation only; window-level model-reported prediction-confidence summary; confidence means predicted-class probability/confidence from the model output, not calibrated clinical confidence; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, not false alarms per hour/day, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation.",115,0.669228,0.662828,0.377847,0.904088,24,0.208696,12,0.104348
