condition,display_condition,model_type,attack_type,epsilon,source_file,window_group,high_confidence_threshold,low_confidence_threshold,claim_boundary,n_windows,mean_prediction_confidence,median_prediction_confidence,min_prediction_confidence,max_prediction_confidence,high_confidence_count,high_confidence_rate,low_confidence_count,low_confidence_rate
undefended_pgd_epsilon_0_03,Undefended PGD epsilon 0.03,undefended_baseline,PGD,0.030000,pgd_predictions_short_epsilon_0_03.csv,correct_nonfall_windows,0.800000,0.500000,"Research implementation only; window-level model-reported prediction-confidence summary; confidence means predicted-class probability/confidence from the model output, not calibrated clinical confidence; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, not false alarms per hour/day, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation.",792,0.831548,0.897092,0.295051,0.999834,531,0.670455,53,0.066919
defended_clean,Defended clean,FGSM_adversarial_training_defended,none,0.000000,defended_predictions_short.csv,all_windows,0.800000,0.500000,"Research implementation only; window-level model-reported prediction-confidence summary; confidence means predicted-class probability/confidence from the model output, not calibrated clinical confidence; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, not false alarms per hour/day, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation.",996,0.504646,0.476372,0.188048,0.961103,91,0.091365,539,0.541165
defended_clean,Defended clean,FGSM_adversarial_training_defended,none,0.000000,defended_predictions_short.csv,correct_predictions,0.800000,0.500000,"Research implementation only; window-level model-reported prediction-confidence summary; confidence means predicted-class probability/confidence from the model output, not calibrated clinical confidence; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, not false alarms per hour/day, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation.",605,0.564123,0.558903,0.207711,0.961103,83,0.137190,244,0.403306
defended_clean,Defended clean,FGSM_adversarial_training_defended,none,0.000000,defended_predictions_short.csv,incorrect_predictions,0.800000,0.500000,"Research implementation only; window-level model-reported prediction-confidence summary; confidence means predicted-class probability/confidence from the model output, not calibrated clinical confidence; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, not false alarms per hour/day, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation.",391,0.412617,0.378998,0.188048,0.935845,8,0.020460,295,0.754476
defended_clean,Defended clean,FGSM_adversarial_training_defended,none,0.000000,defended_predictions_short.csv,true_fall_windows,0.800000,0.500000,"Research implementation only; window-level model-reported prediction-confidence summary; confidence means predicted-class probability/confidence from the model output, not calibrated clinical confidence; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, not false alarms per hour/day, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation.",89,0.437930,0.412174,0.269085,0.743594,0,0.000000,70,0.786517
defended_clean,Defended clean,FGSM_adversarial_training_defended,none,0.000000,defended_predictions_short.csv,true_nonfall_windows,0.800000,0.500000,"Research implementation only; window-level model-reported prediction-confidence summary; confidence means predicted-class probability/confidence from the model output, not calibrated clinical confidence; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, not false alarms per hour/day, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation.",907,0.511192,0.488383,0.188048,0.961103,91,0.100331,469,0.517089
defended_clean,Defended clean,FGSM_adversarial_training_defended,none,0.000000,defended_predictions_short.csv,detected_fall_windows,0.800000,0.500000,"Research implementation only; window-level model-reported prediction-confidence summary; confidence means predicted-class probability/confidence from the model output, not calibrated clinical confidence; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, not false alarms per hour/day, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation.",36,0.402313,0.409890,0.270009,0.467340,0,0.000000,36,1.000000
defended_clean,Defended clean,FGSM_adversarial_training_defended,none,0.000000,defended_predictions_short.csv,missed_fall_windows,0.800000,0.500000,"Research implementation only; window-level model-reported prediction-confidence summary; confidence means predicted-class probability/confidence from the model output, not calibrated clinical confidence; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, not false alarms per hour/day, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation.",53,0.462122,0.415679,0.269085,0.743594,0,0.000000,34,0.641509
defended_clean,Defended clean,FGSM_adversarial_training_defended,none,0.000000,defended_predictions_short.csv,false_fall_alarm_windows,0.800000,0.500000,"Research implementation only; window-level model-reported prediction-confidence summary; confidence means predicted-class probability/confidence from the model output, not calibrated clinical confidence; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, not false alarms per hour/day, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation.",22,0.287155,0.300335,0.206297,0.349214,0,0.000000,22,1.000000
defended_clean,Defended clean,FGSM_adversarial_training_defended,none,0.000000,defended_predictions_short.csv,correct_nonfall_windows,0.800000,0.500000,"Research implementation only; window-level model-reported prediction-confidence summary; confidence means predicted-class probability/confidence from the model output, not calibrated clinical confidence; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, not false alarms per hour/day, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation.",885,0.516762,0.496085,0.188048,0.961103,91,0.102825,447,0.505085
defended_fgsm_epsilon_0_03,Defended FGSM epsilon 0.03,FGSM_adversarial_training_defended,FGSM,0.030000,defended_predictions_short.csv,all_windows,0.800000,0.500000,"Research implementation only; window-level model-reported prediction-confidence summary; confidence means predicted-class probability/confidence from the model output, not calibrated clinical confidence; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, not false alarms per hour/day, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation.",996,0.478099,0.424836,0.176772,0.974701,87,0.087349,618,0.620482
defended_fgsm_epsilon_0_03,Defended FGSM epsilon 0.03,FGSM_adversarial_training_defended,FGSM,0.030000,defended_predictions_short.csv,correct_predictions,0.800000,0.500000,"Research implementation only; window-level model-reported prediction-confidence summary; confidence means predicted-class probability/confidence from the model output, not calibrated clinical confidence; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, not false alarms per hour/day, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation.",152,0.416649,0.381139,0.188476,0.853101,4,0.026316,111,0.730263
defended_fgsm_epsilon_0_03,Defended FGSM epsilon 0.03,FGSM_adversarial_training_defended,FGSM,0.030000,defended_predictions_short.csv,incorrect_predictions,0.800000,0.500000,"Research implementation only; window-level model-reported prediction-confidence summary; confidence means predicted-class probability/confidence from the model output, not calibrated clinical confidence; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, not false alarms per hour/day, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation.",844,0.489166,0.430113,0.176772,0.974701,83,0.098341,507,0.600711
defended_fgsm_epsilon_0_03,Defended FGSM epsilon 0.03,FGSM_adversarial_training_defended,FGSM,0.030000,defended_predictions_short.csv,true_fall_windows,0.800000,0.500000,"Research implementation only; window-level model-reported prediction-confidence summary; confidence means predicted-class probability/confidence from the model output, not calibrated clinical confidence; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, not false alarms per hour/day, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation.",89,0.439962,0.357259,0.197917,0.922110,11,0.123596,62,0.696629
defended_fgsm_epsilon_0_03,Defended FGSM epsilon 0.03,FGSM_adversarial_training_defended,FGSM,0.030000,defended_predictions_short.csv,true_nonfall_windows,0.800000,0.500000,"Research implementation only; window-level model-reported prediction-confidence summary; confidence means predicted-class probability/confidence from the model output, not calibrated clinical confidence; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, not false alarms per hour/day, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation.",907,0.481841,0.428318,0.176772,0.974701,76,0.083793,556,0.613010
defended_fgsm_epsilon_0_03,Defended FGSM epsilon 0.03,FGSM_adversarial_training_defended,FGSM,0.030000,defended_predictions_short.csv,detected_fall_windows,0.800000,0.500000,"Research implementation only; window-level model-reported prediction-confidence summary; confidence means predicted-class probability/confidence from the model output, not calibrated clinical confidence; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, not false alarms per hour/day, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation.",0,NA,NA,NA,NA,0,NA,0,NA
defended_fgsm_epsilon_0_03,Defended FGSM epsilon 0.03,FGSM_adversarial_training_defended,FGSM,0.030000,defended_predictions_short.csv,missed_fall_windows,0.800000,0.500000,"Research implementation only; window-level model-reported prediction-confidence summary; confidence means predicted-class probability/confidence from the model output, not calibrated clinical confidence; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, not false alarms per hour/day, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation.",89,0.439962,0.357259,0.197917,0.922110,11,0.123596,62,0.696629
defended_fgsm_epsilon_0_03,Defended FGSM epsilon 0.03,FGSM_adversarial_training_defended,FGSM,0.030000,defended_predictions_short.csv,false_fall_alarm_windows,0.800000,0.500000,"Research implementation only; window-level model-reported prediction-confidence summary; confidence means predicted-class probability/confidence from the model output, not calibrated clinical confidence; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, not false alarms per hour/day, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation.",72,0.389254,0.392958,0.192882,0.482877,0,0.000000,72,1.000000
defended_fgsm_epsilon_0_03,Defended FGSM epsilon 0.03,FGSM_adversarial_training_defended,FGSM,0.030000,defended_predictions_short.csv,correct_nonfall_windows,0.800000,0.500000,"Research implementation only; window-level model-reported prediction-confidence summary; confidence means predicted-class probability/confidence from the model output, not calibrated clinical confidence; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, not false alarms per hour/day, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation.",835,0.489824,0.439112,0.176772,0.974701,76,0.091018,484,0.579641
defended_pgd_epsilon_0_03,Defended PGD epsilon 0.03,FGSM_adversarial_training_defended,PGD,0.030000,defended_predictions_short.csv,all_windows,0.800000,0.500000,"Research implementation only; window-level model-reported prediction-confidence summary; confidence means predicted-class probability/confidence from the model output, not calibrated clinical confidence; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, not false alarms per hour/day, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation.",996,0.522286,0.471884,0.167327,0.980271,134,0.134538,538,0.540161
defended_pgd_epsilon_0_03,Defended PGD epsilon 0.03,FGSM_adversarial_training_defended,PGD,0.030000,defended_predictions_short.csv,correct_predictions,0.800000,0.500000,"Research implementation only; window-level model-reported prediction-confidence summary; confidence means predicted-class probability/confidence from the model output, not calibrated clinical confidence; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, not false alarms per hour/day, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation.",77,0.385887,0.327233,0.167327,0.771810,0,0.000000,61,0.792208
defended_pgd_epsilon_0_03,Defended PGD epsilon 0.03,FGSM_adversarial_training_defended,PGD,0.030000,defended_predictions_short.csv,incorrect_predictions,0.800000,0.500000,"Research implementation only; window-level model-reported prediction-confidence summary; confidence means predicted-class probability/confidence from the model output, not calibrated clinical confidence; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, not false alarms per hour/day, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation.",919,0.533714,0.484921,0.179112,0.980271,134,0.145811,477,0.519042
defended_pgd_epsilon_0_03,Defended PGD epsilon 0.03,FGSM_adversarial_training_defended,PGD,0.030000,defended_predictions_short.csv,true_fall_windows,0.800000,0.500000,"Research implementation only; window-level model-reported prediction-confidence summary; confidence means predicted-class probability/confidence from the model output, not calibrated clinical confidence; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, not false alarms per hour/day, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation.",89,0.455713,0.376572,0.216783,0.945989,12,0.134831,63,0.707865
defended_pgd_epsilon_0_03,Defended PGD epsilon 0.03,FGSM_adversarial_training_defended,PGD,0.030000,defended_predictions_short.csv,true_nonfall_windows,0.800000,0.500000,"Research implementation only; window-level model-reported prediction-confidence summary; confidence means predicted-class probability/confidence from the model output, not calibrated clinical confidence; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, not false alarms per hour/day, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation.",907,0.528819,0.480318,0.167327,0.980271,122,0.134509,475,0.523705
defended_pgd_epsilon_0_03,Defended PGD epsilon 0.03,FGSM_adversarial_training_defended,PGD,0.030000,defended_predictions_short.csv,detected_fall_windows,0.800000,0.500000,"Research implementation only; window-level model-reported prediction-confidence summary; confidence means predicted-class probability/confidence from the model output, not calibrated clinical confidence; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, not false alarms per hour/day, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation.",0,NA,NA,NA,NA,0,NA,0,NA
defended_pgd_epsilon_0_03,Defended PGD epsilon 0.03,FGSM_adversarial_training_defended,PGD,0.030000,defended_predictions_short.csv,missed_fall_windows,0.800000,0.500000,"Research implementation only; window-level model-reported prediction-confidence summary; confidence means predicted-class probability/confidence from the model output, not calibrated clinical confidence; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, not false alarms per hour/day, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation.",89,0.455713,0.376572,0.216783,0.945989,12,0.134831,63,0.707865
defended_pgd_epsilon_0_03,Defended PGD epsilon 0.03,FGSM_adversarial_training_defended,PGD,0.030000,defended_predictions_short.csv,false_fall_alarm_windows,0.800000,0.500000,"Research implementation only; window-level model-reported prediction-confidence summary; confidence means predicted-class probability/confidence from the model output, not calibrated clinical confidence; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, not false alarms per hour/day, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation.",56,0.417461,0.424872,0.213853,0.484921,0,0.000000,56,1.000000
defended_pgd_epsilon_0_03,Defended PGD epsilon 0.03,FGSM_adversarial_training_defended,PGD,0.030000,defended_predictions_short.csv,correct_nonfall_windows,0.800000,0.500000,"Research implementation only; window-level model-reported prediction-confidence summary; confidence means predicted-class probability/confidence from the model output, not calibrated clinical confidence; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, not false alarms per hour/day, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation.",851,0.536147,0.503769,0.167327,0.980271,122,0.143361,419,0.492362
